Mention,ConceptCode,ConceptName,SemanticType,Start
religion,C17085,Religion,Idea or Concept,10241
education,C16529,Education,Educational Activity,10251
marital status,C25188,Marital Status,Organism Attribute,10265
occupational,C25600,Occupational,Conceptual Entity,10285
information,C48191,Information,Conceptual Entity,10298
type,C25284,Type,Functional Concept,10358
workplace,C17556,Worksite,Geographic Area,10366
current,C25471,Current,Temporal Concept,10377
employment status,C111108,CDISC SDTM Employment Status Terminology,Intellectual Product,10397
department,C42671,Department,Conceptual Entity,10416
duration,C25330,Duration,Temporal Concept,10428
clinical,C25398,Clinical,Qualitative Concept,10440
experience,C54627,Experience,Organism Attribute,10449
specialty,C17153,Medical Specialty,Biomedical Occupation or Discipline,10464
certification,C43610,Certification,Activity,10474
Data collection,C103159,Data Collection,Idea or Concept,10490
ethical,C94315,Moral,Qualitative Concept,10510
considerations,C113416,Consideration,Mental Process,10518
Ethical,C94315,Moral,Qualitative Concept,10534
approval Institutional Review Board,C70800,Institutional Review Board Approval,Regulation or Law,10542
obtained,C52349,Obtain,Activity,10555
University,C48647,University,Organization,10610
College,C61514,College,Organization,10621
Nursing,C16926,Nursing,Biomedical Occupation or Discipline,10632
Data collection,C103159,Data Collection,Idea or Concept,10655
performed,C38000,Performed,Qualitative Concept,10675
survey,C17176,Survey,Research Device,10694
July,C106186,July,Qualitative Concept,10706
October,C106189,October,Qualitative Concept,10719
survey,C17176,Survey,Research Device,10737
packages,C43233,Drug Package,Manufactured Object,10744
cover,C68811,Cover,Activity,10771
letter,C70805,Letter,Intellectual Product,10777
informed consent form,C54623,Form FDA 1572,Manufactured Object,10785
questionnaire,C17048,Questionnaire,Intellectual Product,10808
return,C71900,Return,Activity,10839
sent,C25672,Send,Activity,10861
public,C49060,Public,Qualitative Concept,10884
healthcare facilities,C21541,Healthcare Facility,Health Care Related Organization,10891
distribution,C45273,Distribution,Activity,10917
potential,C62230,Potential,Idea or Concept,10933
Participation,C25608,Participation,Functional Concept,10956
voluntary,C74096,Voluntary,Qualitative Concept,10974
informed consent obtained,C16735,Informed Consent,Health Care Activity,10997
each,C64933,Each,Qualitative Concept,11032
increase,C25533,Increase,Qualitative Concept,11053
response rate,C94502,Response Rate,Conceptual Entity,11066
sent,C25672,Send,Activity,11084
reminder,C54270,Reminder,Conceptual Entity,11089
letters,C70805,Letter,Intellectual Product,11098
after,C49639,Status Post,Temporal Concept,11129
survey,C17176,Survey,Research Device,11139
pack,C62653,Pack Dosage Form,Biomedical or Dental Material,11146
ages,C64553,Attogram,Quantitative Concept,11152
distributed,C45273,Distribution,Activity,11162
Data,C25474,Data,Idea or Concept,11176
analysis,C25391,Analysis,Activity,11181
descriptive,C25365,Description,Intellectual Product,11199
statistics,C17167,Statistics,Occupation or Discipline,11211
evaluate,C25214,Evaluation,Activity,11225
general,C115727,Safety Reporting Documentation,Intellectual Product,11238
tics,C116758,Tic,Disease or Syndrome,11259
job,C25193,Occupation,Occupation or Discipline,11265
related,C53260,Definitely Related to Intervention,Qualitative Concept,11269
characteristics,C25447,Characteristic,Conceptual Entity,11277
need,C41204,Need,Conceptual Entity,11309
MSN,C71374,Master of Science in Nursing,Intellectual Product,11321
Package,C79887,Package,Manufactured Object,11361
Social Sciences,C17141,Social Sciences,Occupation or Discipline,11377
version,C25714,Version,Conceptual Entity,11393
IL,C16760,Israel,Geographic Area,11427
USA,C17234,United States,Geographic Area,11431
correlation,C48834,Correlation,Conceptual Entity,11453
clinical,C25398,Clinical,Qualitative Concept,11471
competency,C99568,Competency,Conceptual Entity,11480
job,C25193,Occupation,Occupation or Discipline,11492
intent,C25725,Intent,Qualitative Concept,11515
MSN,C71374,Master of Science in Nursing,Intellectual Product,11537
point,C70656,Point,Spatial Concept,11558
point,C70656,Point,Spatial Concept,11599
correlation,C48834,Correlation,Conceptual Entity,11614
coefficient,C48922,Coefficient,Conceptual Entity,11626
one,C66832,One,Quantitative Concept,11649
variable,C54166,Variable,Qualitative Concept,11653
dichotomous,C85430,Dichotomous Response Format,Qualitative Concept,11665
applied,C113519,Apply,Activity,11684
intent,C25725,Intent,Qualitative Concept,11699
yes no,C38147,Yes or No Response,Classification,11716
MSN,C71374,Master of Science in Nursing,Intellectual Product,11730
Results,C20200,Outcome,Finding,11746
General,C115727,Safety Reporting Documentation,Intellectual Product,11757
characteristics,C25447,Characteristic,Conceptual Entity,11765
all,C64916,All,Qualitative Concept,11785
main,C25562,Main,Qualitative Concept,11855
administrative division,C85531,Division,Professional or Occupational Group,11860
country,C25464,Country,Geographic Area,11891
mean,C53319,Mean,Quantitative Concept,11904
age,C25150,Age,Organism Attribute,11909
female,C16576,Female,Organism Attribute,11969
More than,C61584,Greater Than,Quantitative Concept,11977
two,C66833,Two,Quantitative Concept,11987
thirds,C25260,Third,Qualitative Concept,11991
bachelor's degree,C39327,Bachelor's Degree,Intellectual Product,12004
nursing public health nursing,C17040,Public Health Nursing,Biomedical Occupation or Discipline,12032
Only,C65011,Only,Qualitative Concept,12070
study,C63536,Study,Research Activity,12087
public health,C17039,Public Health,Biomedical Occupation or Discipline,12128
Approximately,C45828,Approximate,Qualitative Concept,12144
half,C81009,Half,Conceptual Entity,12158
public,C49060,Public,Qualitative Concept,12194
satellite,C25663,Satellite,Spatial Concept,12201
clinic,C51282,Clinic,Health Care Related Organization,12211
worked place,C17556,Worksite,Geographic Area,12247
worked place,C17556,Worksite,Geographic Area,12247
staff,C63612,Staff,Professional or Occupational Group,12259
nurse,C20821,Nurse,Biomedical Occupation or Discipline,12265
main,C25562,Main,Qualitative Concept,12276
post,C38008,Post,Temporal Concept,12281
original,C25604,Original,Conceptual Entity,12333
promotion,C61391,Promotion,Activity,12356
recruitment,C78343,Recruitment,Activity,12369
departments,C42671,Department,Conceptual Entity,12396
employment,C25172,Employment,Functional Concept,12411
general,C115727,Safety Reporting Documentation,Intellectual Product,12455
wards,C71413,Ward,Human,12463
intensive care units,C53511,Intensive Care Unit,Health Care Related Organization,12482
average,C37917,Average,Quantitative Concept,12545
length,C25334,Length,Conceptual Entity,12553
clinical,C25398,Clinical,Qualitative Concept,12563
experience,C54627,Experience,Organism Attribute,12572
Clinical,C25398,Clinical,Qualitative Concept,12609
competency,C99568,Competency,Conceptual Entity,12618
job,C25193,Occupation,Occupation or Discipline,12633
satisfaction,C62185,Satisfaction,Mental Process,12637
mean,C53319,Mean,Quantitative Concept,12674
score 4 score score,C85528,4+ Score,Classification,12679
clinical,C25398,Clinical,Qualitative Concept,12688
competency,C99568,Competency,Conceptual Entity,12697
out,C25650,Removed,Qualitative Concept,12725
mean,C53319,Mean,Quantitative Concept,12739
highest,C25525,Highest,Qualitative Concept,12754
area,C25244,Area,Spatial Concept,12769
management,C61372,Management,Activity,12777
leadership,C121297,Leadership Scale,Intellectual Product,12816
mean,C53319,Mean,Quantitative Concept,12877
job,C25193,Occupation,Occupation or Discipline,12891
satisfaction,C62185,Satisfaction,Mental Process,12895
out,C25650,Removed,Qualitative Concept,12925
need,C41204,Need,Conceptual Entity,12948
MSN,C71374,Master of Science in Nursing,Intellectual Product,12960
reported,C25375,Report,Intellectual Product,13009
intention,C25725,Intent,Qualitative Concept,13021
MSN,C71374,Master of Science in Nursing,Intellectual Product,13046
start,C25431,Begin,Temporal Concept,13100
next,C53286,Next,Temporal Concept,13131
found,C25626,Present,Qualitative Concept,13148
weak,C62224,Weak,Qualitative Concept,13156
statistically significant,C28110,Statistically Significant,Quantitative Concept,13165
relationship,C71472,Relationship,Conceptual Entity,13191
between,C94545,Between,Qualitative Concept,13204
intent,C25725,Intent,Qualitative Concept,13212
MSN,C71374,Master of Science in Nursing,Intellectual Product,13234
clinical,C25398,Clinical,Qualitative Concept,13252
competency,C99568,Competency,Conceptual Entity,13261
suggests,C48313,Suggestion,Conceptual Entity,13302
perceived,C16967,Perception,Mental Process,13316
higher,C25227,High,Qualitative Concept,13326
clinical,C25398,Clinical,Qualitative Concept,13333
competency,C99568,Competency,Conceptual Entity,13342
higher,C25227,High,Qualitative Concept,13399
education,C16529,Education,Educational Activity,13406
box plot,C53326,Box Plot,Quantitative Concept,13432
analysis,C25391,Analysis,Activity,13441
clinical,C25398,Clinical,Qualitative Concept,13455
competency,C99568,Competency,Conceptual Entity,13464
positive,C25246,Positive,Qualitative Concept,13497
intention,C25725,Intent,Qualitative Concept,13506
higher,C25227,High,Qualitative Concept,13553
Fig,C71971,Fig,"Plant, Food",13591
found,C25626,Present,Qualitative Concept,13604
no,C49487,No,Classification,13610
significant,C41130,Significant,Functional Concept,13613
correlation,C48834,Correlation,Conceptual Entity,13625
between,C94545,Between,Qualitative Concept,13637
intent,C25725,Intent,Qualitative Concept,13645
MSN,C71374,Master of Science in Nursing,Intellectual Product,13667
job,C25193,Occupation,Occupation or Discipline,13685
satisfaction,C62185,Satisfaction,Mental Process,13689
most,C25258,Most,Qualitative Concept,13730
important,C115916,Important,Qualitative Concept,13735
factors,C84380,Mathematical Factor,Conceptual Entity,13756
professional,C97016,Health Care Professional Promotional Material,Intellectual Product,13806
chances,C116077,Chance,Conceptual Entity,13897
promotion,C61391,Promotion,Activity,13908
More than,C61584,Greater Than,Quantitative Concept,13928
half,C81009,Half,Conceptual Entity,13938
college,C61514,College,Organization,13991
institute,C41206,Institution,Organization,14002
future,C67527,Future,Temporal Concept,14027
PhD,C30161,Phosducin,"Amino Acid, Peptide, or Protein",14080
after,C49639,Status Post,Temporal Concept,14094
MSN,C71374,Master of Science in Nursing,Intellectual Product,14100
graduation,C52581,Graduation,Activity,14104
high,C25227,High,Qualitative Concept,14124
most,C25258,Most,Qualitative Concept,14143
preferred,C42711,Preferred,Qualitative Concept,14148
specialty,C17153,Medical Specialty,Biomedical Occupation or Discipline,14158
area,C25244,Area,Spatial Concept,14168
man,C14366,Man,Population Group,14185
education community health,C16455,Community Health Education,Health Care Activity,14228
community health nursing,C16456,Community Health Nursing,Biomedical Occupation or Discipline,14251
learning,C19369,Learning,Mental Process,14295
methods,C71460,Method,Conceptual Entity,14304
preferred,C42711,Preferred,Qualitative Concept,14312
problem,C28020,Problem,Phenomenon or Process,14368
based,C48055,Base,Qualitative Concept,14376
learning,C19369,Learning,Mental Process,14382
self,C25200,Self,Conceptual Entity,14436
learning,C19369,Learning,Mental Process,14450
chosen,C48912,Choose,Activity,14464
less than,C61585,Less Than,Functional Concept,14474
Table,C48441,Table,Manufactured Object,14504
status,C25688,Status,Qualitative Concept,14537
full time,C52658,Full Time Employment,Qualitative Concept,14579
day,C25301,Day,Temporal Concept,14589
addition,C64911,Add,Activity,14617
reported,C25375,Report,Intellectual Product,14649
live,C89279,Reside,Activity,14684
during,C25490,During,Temporal Concept,14704
study,C63536,Study,Research Activity,14717
Discussion,C71323,Discussion,Organism Function,14725
higher,C25227,High,Qualitative Concept,14752
education nursing,C20844,Nurse Educator,Biomedical Occupation or Discipline,14759
increased,C25533,Increase,Qualitative Concept,14784
countries,C66786,CDISC SDTM Country Terminology,Intellectual Product,14832
have,C101282,Have,Classification,14847
limited,C121422,Limited Lifting Ability,Intellectual Product,14852
first,C25509,First,Qualitative Concept,14891
aim,C60761,Aim,Conceptual Entity,14897
study,C63536,Study,Research Activity,14909
assess,C25367,Assessment,Intellectual Product,14922
need,C41204,Need,Conceptual Entity,14945
MSN,C71374,Master of Science in Nursing,Intellectual Product,14957
Bangladesh,C16323,Bangladesh,Geographic Area,14974
no,C49487,No,Classification,15006
mean,C53319,Mean,Quantitative Concept,15030
age,C25150,Age,Organism Attribute,15035
study,C63536,Study,Research Activity,15062
few,C64942,Few,Quantitative Concept,15098
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,15102
several,C107221,Several,Qualitative Concept,15140
possible,C82490,Possible,Qualitative Concept,15148
explanations,C86073,Explanation,Idea or Concept,15157
All,C64916,All,Qualitative Concept,15171
study,C63536,Study,Research Activity,15175
obtained,C52349,Obtain,Activity,15193
bachelor degrees,C39327,Bachelor's Degree,Intellectual Product,15208
post,C38008,Post,Temporal Concept,15235
basic,C48056,Base,Chemical Viewed Functionally,15240
Nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,15257
year,C29848,Year,Temporal Concept,15296
college,C61514,College,Organization,15309
not,C25594,Negation,Functional Concept,15322
study,C63536,Study,Research Activity,15343
not,C25594,Negation,Functional Concept,15368
have,C101282,Have,Classification,15372
entered,C37949,Entered,Qualitative Concept,15377
workforce,C77921,Workforce,Population Group,15389
until,C65136,Until,Qualitative Concept,15399
late,C64998,Late,Qualitative Concept,15405
addition,C64911,Add,Activity,15419
personal,C19332,Personal Attribute,Organism Attribute,15444
process,C29862,Process,Functional Concept,15510
new,C25586,New,Qualitative Concept,15533
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,15537
public,C49060,Public,Qualitative Concept,15551
sector,C48955,Sector,Geographic Area,15558
irregular,C63815,Irregular,Conceptual Entity,15568
takes,C65105,Take,Activity,15582
long,C25248,Long,Qualitative Concept,15590
time,C25207,Time,Temporal Concept,15595
high,C25227,High,Qualitative Concept,15634
age,C25150,Age,Organism Attribute,15639
level,C25554,Level,Quantitative Concept,15643
factors,C84380,Mathematical Factor,Conceptual Entity,15656
may,C106184,May,Qualitative Concept,15664
reason,C25638,Reason,Idea or Concept,15675
unusual,C77967,Unusual,Qualitative Concept,15690
age,C25150,Age,Organism Attribute,15698
study,C63536,Study,Research Activity,15725
public,C49060,Public,Qualitative Concept,15736
sector,C48955,Sector,Geographic Area,15743
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,15772
10,C69122,Ten,Quantitative Concept,15802
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,15809
sector,C48955,Sector,Geographic Area,15847
not,C25594,Negation,Functional Concept,15873
filled,C54093,Fill,Activity,15877
managing,C61372,Management,Activity,15918
both,C49636,Both,Qualitative Concept,15927
public,C49060,Public,Qualitative Concept,15936
private,C54104,Private,Qualitative Concept,15947
sectors,C48955,Sector,Geographic Area,15955
improvement,C94226,Improvement,Conceptual Entity,15964
nurse,C20821,Nurse,Biomedical Occupation or Discipline,15979
employment,C25172,Employment,Functional Concept,15985
policy,C17735,Policy,Governmental or Regulatory Activity,15996
path,C47922,Pathname,Intellectual Product,16014
well,C70592,Well,Spatial Concept,16022
regulation,C68821,Regulation,Intellectual Product,16046
body,C13041,Body,Anatomical Structure,16057
study,C63536,Study,Research Activity,16092
MSN,C71374,Master of Science in Nursing,Intellectual Product,16156
people,C95553,People,Population Group,16190
start,C25431,Begin,Temporal Concept,16207
next,C53286,Next,Temporal Concept,16238
master's degree,C39453,Master's Degree,Intellectual Product,16261
addition,C64911,Add,Activity,16281
requirement,C38015,Requirement,Conceptual Entity,16309
promotion,C61391,Promotion,Activity,16325
assistant,C53428,Dental Assistant,Occupation or Discipline,16350
professor,C69170,Professor,Conceptual Entity,16360
Bangladeshi,C43671,Bangladeshi,Population Group,16377
government,C78315,Government,Organization,16389
sector,C48955,Sector,Geographic Area,16400
Approximately,C45828,Approximate,Qualitative Concept,16408
500,C16876,Montserrat,Geographic Area,16422
nurses public health nurses,C17040,Public Health Nursing,Biomedical Occupation or Discipline,16426
nurses health nurses Family,C18790,Family Health Nursing,Biomedical Occupation or Discipline,16426
country,C25464,Country,Geographic Area,16440
have,C101282,Have,Classification,16448
master's public health,C39451,Master of Public Health,Intellectual Product,16453
degrees,C25554,Level,Quantitative Concept,16462
most,C25258,Most,Qualitative Concept,16471
rare,C64954,Infrequent,Qualitative Concept,16500
urgent,C100031,Urgent Procedure,Therapeutic or Preventive Procedure,16573
need,C41204,Need,Conceptual Entity,16580
supply,C80514,Provide,Activity,16588
more,C128667,More,Qualitative Concept,16595
Bangladesh,C16323,Bangladesh,Geographic Area,16610
self,C25200,Self,Conceptual Entity,16680
perceived,C16967,Perception,Mental Process,16685
clinical,C25398,Clinical,Qualitative Concept,16695
competency,C99568,Competency,Conceptual Entity,16704
present,C25626,Present,Qualitative Concept,16737
study,C63536,Study,Research Activity,16745
very,C116076,Very,Qualitative Concept,16783
high,C25227,High,Qualitative Concept,16788
One,C66832,One,Quantitative Concept,16794
possible,C82490,Possible,Qualitative Concept,16798
explanation,C86073,Explanation,Idea or Concept,16807
social,C62650,Social,Qualitative Concept,16824
response,C25755,Response,Phenomenon or Process,16844
bias,C28232,Bias,Idea or Concept,16853
self reported,C21089,Patient Self-Report,Diagnostic Procedure,16861
research,C15319,Research,Research Activity,16876
people,C95553,People,Population Group,16903
present,C25626,Present,Qualitative Concept,16913
able,C78209,Ability,Functional Concept,16931
image,C48179,Image,Entity,16936
questionnaires,C17048,Questionnaire,Intellectual Product,16959
responses,C50995,Disease Response,Finding,17022
confidentiality,C16466,Confidentiality,Idea or Concept,17036
return,C71900,Return,Activity,17081
data collection,C103159,Data Collection,Idea or Concept,17098
possible,C82490,Possible,Qualitative Concept,17123
Bangladeshi,C43671,Bangladeshi,Population Group,17163
government,C78315,Government,Organization,17175
have,C101282,Have,Classification,17199
participant,C29867,Participant,Population Group,17215
responses,C50995,Disease Response,Finding,17227
responses,C50995,Disease Response,Finding,17262
employer,C54144,Employer,Professional or Occupational Group,17300
Clinical,C25398,Clinical,Qualitative Concept,17310
competency,C99568,Competency,Conceptual Entity,17319
low,C54722,Low,Qualitative Concept,17336
statistically,C17167,Statistics,Occupation or Discipline,17344
cant,C82117,Cant,Finding,17367
correlation,C48834,Correlation,Conceptual Entity,17372
intention,C25725,Intent,Qualitative Concept,17389
MSN,C71374,Master of Science in Nursing,Intellectual Product,17414
may,C106184,May,Qualitative Concept,17434
result,C20200,Outcome,Finding,17438
extremely,C102844,Extreme,Qualitative Concept,17454
distribution,C45273,Distribution,Activity,17471
one,C66832,One,Quantitative Concept,17487
variable,C54166,Variable,Qualitative Concept,17491
computed,C61298,Computation,Activity,17507
correlation,C48834,Correlation,Conceptual Entity,17516
frequency,C71113,CDISC SDTM Frequency Terminology,Intellectual Product,17533
MSN,C71374,Master of Science in Nursing,Intellectual Product,17584
no,C49487,No,Classification,17602
intention,C25725,Intent,Qualitative Concept,17605
low,C54722,Low,Qualitative Concept,17639
correlation,C48834,Correlation,Conceptual Entity,17643
coefficient,C48922,Coefficient,Conceptual Entity,17655
strong,C14614,Strong,,17675
intentions,C25725,Intent,Qualitative Concept,17682
education nursing,C20844,Nurse Educator,Biomedical Occupation or Discipline,17706
common,C43461,Common,Qualitative Concept,17721
finding,C3367,Finding,Finding,17728
countries,C66786,CDISC SDTM Country Terminology,Intellectual Product,17739
few,C64942,Few,Quantitative Concept,17754
insufficient,C126862,Unsatisfactory,Qualitative Concept,17803
programmes,C50123,Programmer Device Component,Manufactured Object,17816
Sri Lanka,C17163,Sri Lanka,Geographic Area,17835
Urgent,C100031,Urgent Procedure,Therapeutic or Preventive Procedure,17864
measures,C37894,Measurable,Idea or Concept,17871
balance,C73497,Balance,Organism Function,17899
academic,C18240,Academia,Organization,17912
high,C25227,High,Qualitative Concept,17944
education,C16529,Education,Educational Activity,17964
Participant,C29867,Participant,Population Group,17976
job,C25193,Occupation,Occupation or Discipline,17988
satisfaction,C62185,Satisfaction,Mental Process,17992
reported,C25375,Report,Intellectual Product,18009
high,C25227,High,Qualitative Concept,18035
study,C63536,Study,Research Activity,18105
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,18131
public,C49060,Public,Qualitative Concept,18153
sector,C48955,Sector,Geographic Area,18160
Bangladeshi,C43671,Bangladeshi,Population Group,18168
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,18180
known,C80137,Known,Conceptual Entity,18191
public,C49060,Public,Qualitative Concept,18222
sector,C48955,Sector,Geographic Area,18229
private,C54104,Private,Qualitative Concept,18252
non,C25594,Negation,Functional Concept,18261
government,C78315,Government,Organization,18265
sector,C48955,Sector,Geographic Area,18276
private,C54104,Private,Qualitative Concept,18284
hospitals,C25179,Hospitalization,Health Care Activity,18292
private,C54104,Private,Qualitative Concept,18323
sector,C48955,Sector,Geographic Area,18331
means,C47955,Means,Conceptual Entity,18338
low,C54722,Low,Qualitative Concept,18344
job,C25193,Occupation,Occupation or Discipline,18348
security,C25669,Security,Conceptual Entity,18352
being,C89327,Be,Qualitative Concept,18378
even,C64936,Evening,Temporal Concept,18398
minor,C45367,Minor,Qualitative Concept,18405
not,C25594,Negation,Functional Concept,18421
being,C89327,Be,Qualitative Concept,18425
additional,C25406,Additional,Quantitative Concept,18440
patient care,C15239,Patient Care,Health Care Activity,18451
al,C111127,Aluminum Measurement,Laboratory Procedure,18476
addition,C64911,Add,Activity,18490
internal consistency,C78687,Internal Consistency,Quantitative Concept,18504
ability,C78209,Ability,Functional Concept,18531
job,C25193,Occupation,Occupation or Discipline,18542
satisfaction,C62185,Satisfaction,Mental Process,18546
scale,C25664,Scale,Intellectual Product,18559
lower,C25309,Lower,Spatial Concept,18583
accepted,C62559,Accepted,Qualitative Concept,18631
range,C38013,Range,Quantitative Concept,18640
issue,C43415,Issue,Manufactured Object,18660
study,C63536,Study,Research Activity,18685
differences,C46003,Difference,Qualitative Concept,18736
hospital,C16696,Hospital,Health Care Related Organization,18751
culture,C16478,Culture,Idea or Concept,18760
between,C94545,Between,Qualitative Concept,18768
countries,C66786,CDISC SDTM Country Terminology,Intellectual Product,18776
some,C65099,Some,Activity,18800
low,C54722,Low,Qualitative Concept,18812
reliability,C73622,Reliability,Quantitative Concept,18816
scale,C25664,Scale,Intellectual Product,18835
found,C25626,Present,Qualitative Concept,18845
no,C49487,No,Classification,18851
significant,C41130,Significant,Functional Concept,18854
correlation,C48834,Correlation,Conceptual Entity,18866
between,C94545,Between,Qualitative Concept,18878
job,C25193,Occupation,Occupation or Discipline,18886
satisfaction,C62185,Satisfaction,Mental Process,18890
intention,C25725,Intent,Qualitative Concept,18907
MSN,C71374,Master of Science in Nursing,Intellectual Product,18932
result,C20200,Outcome,Finding,18952
previous,C25627,Previous,Temporal Concept,18976
studies,C15206,Clinical Study,Research Activity,18985
found,C25626,Present,Qualitative Concept,18998
lower,C25309,Lower,Spatial Concept,19009
job,C25193,Occupation,Occupation or Discipline,19015
satisfaction,C62185,Satisfaction,Mental Process,19019
predicted,C54156,Prediction,Idea or Concept,19032
higher,C25227,High,Qualitative Concept,19055
nursing education,C20844,Nurse Educator,Biomedical Occupation or Discipline,19062
al,C111127,Aluminum Measurement,Laboratory Procedure,19092
finding,C3367,Finding,Finding,19127
due,C45263,Due,Qualitative Concept,19144
higher,C25227,High,Qualitative Concept,19151
job,C25193,Occupation,Occupation or Discipline,19158
satisfaction,C62185,Satisfaction,Mental Process,19162
scores,C25338,Score,Quantitative Concept,19175
MSN,C71374,Master of Science in Nursing,Intellectual Product,19200
pro,C29612,Proline,"Amino Acid, Peptide, or Protein",19204
increase,C25533,Increase,Qualitative Concept,19222
capacity,C25443,Capacity,Quantitative Concept,19231
influence,C121660,Influence,Conceptual Entity,19255
quality care,C17046,Quality of Care,Qualitative Concept,19269
patient care,C15239,Patient Care,Health Care Activity,19280
care self,C15324,Self Care,Health Care Activity,19288
self esteem,C121289,Self-Esteem Scale,Intellectual Product,19307
communication,C16452,Communication,Social Behavior,19330
promoting,C61391,Promotion,Activity,19345
professional,C97016,Health Care Professional Promotional Material,Intellectual Product,19355
growth,C64379,Growth,Spatial Concept,19368
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,19388
apply,C113519,Apply,Activity,19398
all,C64916,All,Qualitative Concept,19457
influence,C121660,Influence,Conceptual Entity,19504
current,C25471,Current,Temporal Concept,19517
job,C25193,Occupation,Occupation or Discipline,19525
satisfaction,C62185,Satisfaction,Mental Process,19529
Bangladeshi,C43671,Bangladeshi,Population Group,19548
educational nursing nursing,C20844,Nurse Educator,Biomedical Occupation or Discipline,19587
needs,C41204,Need,Conceptual Entity,19599
assessment,C25367,Assessment,Intellectual Product,19605
most,C25258,Most,Qualitative Concept,19621
preferred,C42711,Preferred,Qualitative Concept,19626
area,C25244,Area,Spatial Concept,19636
specialty,C17153,Medical Specialty,Biomedical Occupation or Discipline,19644
management,C61372,Management,Activity,19666
result,C20200,Outcome,Finding,19714
consistent,C85901,Consistent,Conceptual Entity,19724
finding,C3367,Finding,Finding,19744
work,C74299,Work,Activity,19789
nursing fields,C16926,Nursing,Biomedical Occupation or Discipline,19797
administrators,C48905,"Administration, Management",Activity,19829
educators,C16529,Education,Educational Activity,19848
study,C63536,Study,Research Activity,19900
result,C20200,Outcome,Finding,19906
management,C61372,Management,Activity,19918
ship,C40353,Shipping,Activity,19941
nursing nursing education,C20844,Nurse Educator,Biomedical Occupation or Discipline,19949
top,C62637,Top,Spatial Concept,19993
four,C66835,Four,Quantitative Concept,19997
most,C25258,Most,Qualitative Concept,20002
preferred,C42711,Preferred,Qualitative Concept,20007
content areas,C70772,Knowledge Field,Conceptual Entity,20028
result,C20200,Outcome,Finding,20048
priority,C48911,Priority,Qualitative Concept,20072
roles,C48835,Role,Conceptual Entity,20081
education nursing,C20844,Nurse Educator,Biomedical Occupation or Discipline,20100
Bangladesh,C16323,Bangladesh,Geographic Area,20124
leadership,C121297,Leadership Scale,Intellectual Product,20169
qualifications,C115712,Laboratory Certification Document,Intellectual Product,20192
clinical,C25398,Clinical,Qualitative Concept,20211
Nursing research,C15285,Nursing Research,Research Activity,20246
Nursing research,C51864,Research Nurse,Professional or Occupational Group,20246
research based,C94426,Research Base,Organization,20254
evidence,C43583,Evidence,Idea or Concept,20267
top,C62637,Top,Spatial Concept,20308
four,C66835,Four,Quantitative Concept,20312
most,C25258,Most,Qualitative Concept,20317
preferred,C42711,Preferred,Qualitative Concept,20322
contents,C95494,Content,Mental Process,20344
survey,C17176,Survey,Research Device,20360
finding,C3367,Finding,Finding,20373
one,C66832,One,Quantitative Concept,20390
health,C25178,Health,Idea or Concept,20401
related,C53260,Definitely Related to Intervention,Qualitative Concept,20408
national,C61423,National,Conceptual Entity,20416
period,C25616,Period,Temporal Concept,20455
function,C25518,Function,Conceptual Entity,20490
cells,C48694,Cell,Spatial Concept,20519
Bangladesh,C16323,Bangladesh,Geographic Area,20528
evidence,C43583,Evidence,Idea or Concept,20543
based,C48055,Base,Qualitative Concept,20552
nursing research,C15285,Nursing Research,Research Activity,20595
nursing research,C51864,Research Nurse,Professional or Occupational Group,20595
institutes,C41206,Institution,Organization,20612
Family,C25173,Family,Family Group,20647
Some,C65099,Some,Activity,20678
countries,C66786,CDISC SDTM Country Terminology,Intellectual Product,20694
Jordan,C16765,Jordan,Geographic Area,20713
Sri Lanka,C17163,Sri Lanka,Geographic Area,20724
have,C101282,Have,Classification,20735
MSN,C71374,Master of Science in Nursing,Intellectual Product,20748
programmes,C50123,Programmer Device Component,Manufactured Object,20752
focus,C25511,Focus,Spatial Concept,20768
education,C16529,Education,Educational Activity,20777
management,C61372,Management,Activity,20791
specialty,C17153,Medical Specialty,Biomedical Occupation or Discipline,20805
areas,C16632,Geographic Area,Geographic Area,20815
expected,C25501,Expected,Conceptual Entity,20832
outcomes,C20200,Outcome,Finding,20851
have,C101282,Have,Classification,20860
prepare,C25625,Preparation,Activity,20873
nurses research,C15285,Nursing Research,Research Activity,20881
nurses research,C51864,Research Nurse,Professional or Occupational Group,20881
reason,C25638,Reason,Idea or Concept,20934
areas,C16632,Geographic Area,Geographic Area,20963
advanced,C25411,Advanced,Qualitative Concept,20984
nursing clinical,C20866,Ambulatory Care Nursing,Biomedical Occupation or Discipline,20993
nursing educators,C20844,Nurse Educator,Biomedical Occupation or Discipline,20993
specialties,C17153,Medical Specialty,Biomedical Occupation or Discipline,21013
most,C25258,Most,Qualitative Concept,21112
issue,C43415,Issue,Manufactured Object,21126
both,C49636,Both,Qualitative Concept,21135
countries,C66786,CDISC SDTM Country Terminology,Intellectual Product,21140
development,C18732,Development,Organism Function,21197
